ID,name,type,duration,participants
ME 362,Vibrations I,LECTURE,2,LEC024 ED3-ME
ME 356,Strength of Materials II,LECTURE,2,LEC013 ED3-ME
ME 352,Fluid Dynamics,LECTURE,2,LEC002 ED3-MARI
ME 352,Fluid Dynamics II,LECTURE,2,LEC002 ED3-ME
ME 284,Automotive Electrical Systems and Electronics,LECTURE,2,LEC021 ED2-AUTO
ME 274,2nd Year Design Project,LECTURE,2,LEC006 ED2-ME
ME 270,Manufacturing Technology,LECTURE,2,LEC015 ED2-AUTO
ME 270,Manufacturing Technology,LECTURE,2,LEC015 ED2-IND
ME 270,Manufacturing Technology,LECTURE,2,LEC015 ED2-MARI
ME 270,Manufacturing Technology,LECTURE,2,LEC015 ED2-ME
ME 266,Thermodynamics I,LECTURE,2,LEC027 ED2-ME
ME 266,Thermodynamics I,LECTURE,2,LEC041 ED1-AERO
ME 266,Thermodynamics I,LECTURE,2,LEC041 ED2-AUTO
ME 266,Thermodynamics I,LECTURE,2,LEC041 ED2-IND
ME 264,Mechanism Synthesis and Analysis,LECTURE,2,LEC006 ED2-AERO
ME 264,Mechanisms Synthesis and Analysis I,LECTURE,2,LEC011 ED2-AUTO
ME 264,Mechanisms Synthesis and Analysis I,LECTURE,2,LEC011 ED2-IND
ME 264,Mechanisms Synthesis and Analysis I,LECTURE,2,LEC012 ED2-ME
ME 262,Theory of Machines,LECTURE,2,LEC024 ED2-AE
ME 258,Computer Aided-Design & Modeling,LECTURE,2,LEC014 ED2-AERO
ME 252,Fluid Dynamics I,LECTURE,2,LEC025 ED2-IND
ME 252,Fluid Dynamics I,LECTURE,2,LEC025 ED2-MARI
ME 252,Fluid Dynamics I,LECTURE,2,LEC025 ED2-ME
ME 166,Applied Thermodynamics,LECTURE,2,LEC012 ED1-ME
ME 166,Basic Thermodynamics,LECTURE,2,LEC041 ED1-AUTO
ME 166,Applied Thermodynamics I,LECTURE,2,LEC243 ED1-EE
ME 166,Applied Thermodynamics I,LECTURE,2,LEC026 ED1-TEL
ME 164,Statics of Solid Mechanics,LECTURE,2,LEC011 ED1-AERO
ME 164,Statics of Solid Mechanics,LECTURE,2,LEC011 ED1-ME
ME 164,Statics,LECTURE,2,LEC017 ED1-AUTO
ME 164,Mechanics I (Statics),LECTURE,2,LEC027 ED1-IND
ME 164,Statics of Solid Mechanics,LECTURE,2,LEC027 ED1-MARI
ME 162,Basic Mechanics,LECTURE,2,LEC243 ED1-PCE
ENGL 158,Communication Skills II,LECTURE,2,LEC241 ED1-EE
ENGL 158,Communication Skills II,LECTURE,2,LEC241 ED1-METE
ME 162,Basic Mechanics,LECTURE,2,LEC061 ED1-METE
ME 162,Basic Mechanics,LECTURE,2,LEC041 ED1-AE
ENGL 158,Communication Skills II,LECTURE,2,LEC241 ED1-PETE
ME 162,Basic Mechanics,LECTURE,2,LEC017 ED1-PETE
ME 160,Engineering Drawing,LECTURE,2,LEC001 ED1-ME
ME 160,Engineering Drawing,LECTURE,2,LEC044 ED1-AUTO
ME 160,Engineering Drawing,LECTURE,2,LEC044 ED1-IND
ME 160,Engineering Drawing,LECTURE,2,LEC044 ED1-MARI
ME 160,Engineering Drawing,LECTURE,2,LEC218 ED1-AE
ME 160,Engineering Drawing,LECTURE,2,LEC243 ED1-MSE
